goal_no,scored_for,scored_by,minute,half,assist_by,goal_type,scored_ag,match_no
1,Mexico,Julian Quinones,9,1,Erik Lira,Regular,South Africa,1
2,Mexico,Raul Jimenez,67,2,Roberto Alvarado,Header,South Africa,1
3,Czechia,Ladislav Krejci,59,2,Vladimir Coufal,Header,South Korea,2
4,South Korea,Hwang In-beom,67,2,Kang-in Lee,Regular,Czechia,2
5,South Korea,Hyeon-gyu Oh,80,2,Hwang In-beom,Regular,Czechia,2
6,Bosnia and Herzegovina,Jovo Lukic,21,1,Sead Kolasinac,Header,Canada,3
7,Canada,Cyle Larin,78,2,Promise David,Regular,Bosnia and Herzegovina,3
8,USA,Damian Bobadilla,7,1,,Own Goal,Paraguay,4
9,USA,Folarin Balogun,31,1,Christian Pulisic,Regular,Paraguay,4
10,USA,Folarin Balogun,50,1,Malik Tillman,Regular,Paraguay,4
11,Paraguay,Mauricio,73,2,Julio Enciso,Regular,USA,4
12,USA,Giovanni Reyna,98,2,Alexander Freeman,Regular,Paraguay,4
13,Switzerland,Breel Embolo,17,1,,Penalty,Qatar,5
14,Qatar,Miro Muheim,94,2,,Own Goal,Switzerland,5
15,Morocco,Ismael Saibari,21,1,Brahim Diaz,Regular,Brazil,6
16,Brazil,Vinicius Junior,32,1,Bruno Guimaraes,Regular,Morocco,6
17,Scotland,John McGinn,29,1,,Regular,Haiti,7
18,Australia,Nestory Irankunda,27,1,Paul Okon-Engstler,Regular,Turkiye,8
19,Australia,Connor Metcalfe,75,2,,Regular,Turkiye,8
20,Germany,Felix Nmecha,6,1,Florian Wirtz,Regular,Curaçao,9
21,Curaçao,Livano Comenencia,21,1,,Regular,Germany,9
22,Germany,Nico Schlotterbeck,38,1,Nathaniel Brown,Header,Curaçao,9
23,Germany,Kai Havertz,50,1,,Penalty,Curaçao,9
24,Germany,Jamal Musiala,47,2,Joshua Kimmich,Regular,Curaçao,9
25,Germany,Nathaniel Brown,68,2,Deniz Undav,Regular,Curaçao,9
26,Germany,Deniz Undav,78,2,Joshua Kimmich,Regular,Curaçao,9
27,Germany,Kai Havertz,88,2,Deniz Undav,Regular,Curaçao,9
28,Netherlands,Virgil Van Dijk,50,2,Ryan Gravenberch,Header,Japan,10
29,Japan,Keito Nakamura,57,2,Takefusa Kubo,Regular,Netherlands,10
30,Netherlands,Crysencio Summerville,64,2,Ryan Gravenberch,Regular,Japan,10
31,Japan,Daichi Kamada,89,2,Koki Ogawa,Header,Netherlands,10
32,Ivory Coast,Amad Diallo,90,2,Wilfried Singo,Regular,Ecuador,11
33,Sweden,Yasin Ayari,7,1,,Regular,Tunisia,12
34,Sweden,Alexander Isak,30,1,Viktor Gyokeres,Regular,Tunisia,12
35,Tunisia,Omar Rekik,43,1,Hannibal Mejbri,Header,Sweden,12
36,Sweden,Viktor Gyokeres,59,2,Alexander Isak,Regular,Tunisia,12
37,Sweden,Mattias Svanberg,84,2,Alexander Isak,Regular,Tunisia,12
38,Sweden,Yasin Ayari,96,2,Lucas Bergvall,Regular,Tunisia,12
39,Egypt,Emam Ashour,19,1,Mohamed Salah,Regular,Belgium,14
40,Belgium,Mohamed Hany,66,2,,Own Goal,Egypt,14
41,Saudi Arabia,Abdulelah Al-Amri,41,1,,Regular,Uruguay,15
42,Uruguay,Maximiliano Araújo,80,2,,Regular,Saudi Arabia,15
43,New Zealand,Elijah Just,7,1,Chris Wood,Regular,Iran,16
44,Iran,Ramin Rezaeian,32,1,,Regular,New Zealand,16
45,New Zealand,Elijah Just,54,2,Chris Wood,Regular,Iran,16
46,Iran,Mohammad Mohebi,64,2,Ramin Rezaeian,Header,New Zealand,16
47,France,Kylian Mbappé,66,2,Michael Olise,Regular,Senegal,17
48,France,Bradley Barcola,82,2,Adrien Rabiot,Regular,Senegal,17
49,Senegal,Ibrahim Mbaye,95,2,Iliman Ndiaye,Regular,France,17
50,France,Kylian Mbappé,96,2,,Regular,Senegal,17
51,Norway,Erling Haaland,29,1,David Møller Wolfe,Regular,Iraq,18
52,Iraq,Aymen Hussein,39,1,Amir Al-Ammari,Header,Norway,18
53,Norway,Erling Haaland,43,1,,Regular,Iraq,18
54,Norway,Leo Østigård,77,2,Martin Ødegaard,Header,Iraq,18
55,Norway,Aymen Hussein,97,2,,Own Goal,Iraq,18
56,Argentina,Lionel Messi,17,1,Rodrigo De Paul,Regular,Algeria,19
57,Argentina,Lionel Messi,60,2,,Regular,Algeria,19
58,Argentina,Lionel Messi,76,2,Nicolás González,Regular,Algeria,19
59,Austria,Romano Schmid,20,1,Xaver Schlager,Regular,Jordan,20
60,Jordan,Ali Olwan,50,2,Noor Al-Deen Al Rawabdeh,Regular,Austria,20
61,Austria,Yazan Al-Arab,76,2,,Own Goal,Jordan,20
62,Austria,Marko Arnautovic,102,2,,Penalty,Jordan,20
63,Portugal,João Neves,6,1,Pedro Neto,Header,DR Congo,21
64,DR Congo,Yoane Wissa,50,1,Arthur Masuaku,Header,Portugal,21
65,England,Harry Kane,12,1,,Penalty,Croatia,22
66,Croatia,Martin Baturina,36,1,Petar Sucic,Regular,England,22
67,England,Harry Kane,42,1,Declan Rice,Header,Croatia,22
68,Croatia,Petar Musa,50,1,Ivan Perisic,Regular,England,22
69,England,Jude Bellingham,47,2,Elliot Anderson,Regular,Croatia,22
70,England,Marcus Rashford,85,2,Bukayo Saka,Regular,Croatia,22
71,Ghana,Caleb Yirenkyi,95,2,Brandon Thomas-Asante,Regular,Panama,23
72,Colombia,Daniel Muñoz,40,1,Luis Díaz,Regular,Uzbekistan,24
73,Uzbekistan,Abbosbek Fayzullaev,60,2,,Header,Colombia,24
74,Colombia,Luis Díaz,65,2,Gustavo Puerta,Regular,Uzbekistan,24
75,Colombia,Jaminton Campaz,99,2,Cucho Hernández,Header,Uzbekistan,24
76,Czechia,Michal Sadílek,6,1,Alexandr Sojka,Regular,South Africa,25
77,South Africa,Teboho Mokoena,83,2,,Penalty,Czechia,25
78,Switzerland,Johan Manzambi,74,2,,Regular,Bosnia and Herzegovina,26
79,Switzerland,Ruben Vargas,84,2,Breel Embolo,Regular,Bosnia and Herzegovina,26
80,Switzerland,Johan Manzambi,90,2,Ruben Vargas,Regular,Bosnia and Herzegovina,26
81,Bosnia and Herzegovina,Ermin Mahmic,93,2,,Regular,Switzerland,26
82,Switzerland,Granit Xhaka,97,2,,Penalty,Bosnia and Herzegovina,26
83,Canada,Cyle Larin,16,1,,Regular,Qatar,27
84,Canada,Jonathan David,29,1,,Regular,Qatar,27
85,Canada,Jonathan David,48,1,,Regular,Qatar,27
86,Canada,Nathan-Dylan Saliba,64,2,,Free kick,Qatar,27
87,Canada,Mohamed Naceur Almanai,75,2,,Own goal,Qatar,27
88,Canada,Jonathan David,92,2,Nathan-Dylan Saliba,Regular,Qatar,27
89,Mexico,Luis Romo,50,2,,Regular,South Korea,28
90,USA,Cameron Burgess,11,1,,Own goal,Australia,29
91,USA,Alexander Freeman,43,1,,Header,Australia,29
92,Morocco,Ismael Saibari,2,1,Brahim Diaz,Regular,Scotland,30
93,Brazil,Matheus Cunha,23,1,,Regular,Haiti,31
94,Brazil,Matheus Cunha,36,1,Vinicius Junior,Regular,Haiti,31
95,Brazil,Vinicius Junior,48,1,Lucas Paqueta,Regular,Haiti,31
96,Paraguay,Matias Galarza,2,1,Julio Enciso,Regular,Türkiye,32
97,Netherlands,Brian Brobbey,5,1,Cody Gakpo,Regular,Sweden,33
98,Netherlands,Brian Brobbey,17,1,Denzel Dumfries,Regular,Sweden,33
99,Netherlands,Cody Gakpo,47,2,Denzel Dumfries,Regular,Sweden,33
100,Netherlands,Cody Gakpo,54,2,Crysencio Summerville,Regular,Sweden,33
101,Sweden,Anthony Elanga,59,2,Alexander Isak,Regular,Netherlands,33
102,Netherlands,Crysencio Summerville,89,2,Memphis Depay,Regular,Sweden,33
103,Ivory Coast,Franck Kessié,30,1,,Regular,Germany,34
104,Germany,Deniz Undav,68,2,Nadiem Amiri,Regular,Ivory Coast,34
105,Germany,Deniz Undav,94,2,Felix Nmecha,Regular,Ivory Coast,34
106,Japan,Daichi Kamada,4,1,Keito Nakamura,Regular,Tunisia,36
107,Japan,Ayase Ueda,31,1,Ko Itakura,Regular,Tunisia,36
108,Japan,Junya Ito,69,2,Ayase Ueda,Regular,Tunisia,36
109,Japan,Ayase Ueda,83,2,Kaishu Sano,Header,Tunisia,36
110,Spain,Lamine Yamal,10,1,Mikel Oyarzabal,Regular,Saudi Arabia,37
111,Spain,Mikel Oyarzabal,21,1,Aymeric Laporte,Regular,Saudi Arabia,37
112,Spain,Mikel Oyarzabal,24,1,Dani Olmo,Regular,Saudi Arabia,37
113,Spain,Hassan Altambakti,49,2,,Own goal,Saudi Arabia,37
